"","CD19/TCRgd:PE Cy7-A LOGICAL","CD38:APC H7-A LOGICAL","CD3:APC-A LOGICAL","CD4+CD20:PB-A LOGICAL","CD45:PO-A LOGICAL","CD56+IgK:PE-A LOGICAL","CD5:PerCP Cy5-5-A LOGICAL","CD8+IgL:FITC-A LOGICAL","FSC-A LINEAR","SSC-A Exp-SSC Low","Population ID (name)"
"13",2951,4713,6695,1599,5586,1239,5109,6451,2694,1420,"CD8+CD4-"
"15",2114,2508,3179,4267,5290,3413,3379,4070,3459,6942,"Eosinophils"
"16",2477,2407,7038,5718,5336,2207,6152,2211,2257,1132,"CD4+CD8-"
"22",913,2284,6955,2592,5644,2808,5668,6554,2545,1401,"CD8+CD4-"
"31",2678,2959,3859,4187,5140,3375,3578,4063,3261,6891,"Eosinophils"
"48",2327,3710,3697,4252,5190,3400,3662,4202,3755,6878,"Eosinophils"
"56",1917,1766,6937,5777,5604,1449,5710,1938,2452,1254,"CD4+CD8-"
"57",1986,3762,6877,1207,5456,2719,5808,6240,2126,1297,"CD8+CD4-"
"59",2473,1655,7187,5735,5244,1556,5764,2564,1739,1126,"CD4+CD8-"
"61",1953,1898,2734,2393,5589,5011,2237,2836,2617,1143,"CD56dim"
"72",2203,3817,1347,4316,4894,5105,2240,5112,3659,3230,"Monocytes"
"75",1633,2278,6878,1369,5202,2105,5578,6051,2264,1113,"CD8+CD4-"
"98",1628,4530,1640,3959,4770,5249,2962,5290,3783,2822,"Monocytes"
"101",1560,2931,6685,6148,5546,1780,6206,2247,2695,1724,"CD4+CD8-"
"102",2512,4457,2299,2452,5489,5175,2189,5265,2416,1563,"CD56dim"
"104",1807,4199,2283,4309,4786,5108,1665,5129,3932,3293,"Monocytes"
"107",2149,2356,7141,5861,5688,3094,5564,3039,2701,1430,"CD4+CD8-"
"122",1857,3003,6795,5740,4907,1137,5589,1460,2036,932,"CD4+CD8-"
"126",2776,5287,6899,5840,5189,1389,5706,2819,2111,1337,"CD4+CD8-"
"128",2189,1856,6399,2253,5263,1594,3949,5966,2466,1319,"CD8+CD4-"
