"","CD19/TCRgd:PE Cy7-A LOGICAL","CD4+CD20:PB-A LOGICAL","CD3:APC-A LOGICAL","CD38:APC H7-A LOGICAL","CD45:PO-A LOGICAL","CD5:PerCP Cy5-5-A LOGICAL","CD56+IgK:PE-A LOGICAL","CD8+IgL:FITC-A LOGICAL","FSC-A LINEAR","SSC-A Exp-SSC Low","Population ID (name)"
"3",2270,3314,6769,4381,5486,2020,6099,6429,2211,1434,"CD8+CD4-"
"6",2489,2495,7094,1984,5763,5056,5030,6457,2041,1466,"CD8+CD4-"
"10",2836,4097,7114,5749,5428,1863,6030,1761,1857,1246,"CD4+CD8-"
"11",2582,3960,6963,1990,5476,1957,5737,5918,1822,1260,"CD8+CD4-"
"13",2776,4617,2138,3682,4938,4472,2303,5065,3714,3045,"Monocytes"
"29",2436,4991,7167,5827,5477,1471,6234,1695,1823,980,"CD4+CD8-"
"30",2639,2379,6974,2536,5249,2359,5723,6317,1641,1442,"CD8+CD4-"
"48",2152,4701,1637,4294,5101,3434,2518,4667,3120,3512,"Monocytes"
"53",2116,3414,7202,2559,5692,5995,4246,5713,2035,1809,"CD8+CD4-"
"59",2547,2264,7345,5914,5323,1882,6201,2150,1833,1276,"CD4+CD8-"
"62",1977,2849,3304,4476,5086,2770,3577,4117,3882,6843,"Eosinophils"
"63",6081,4119,2762,6324,5351,2534,1756,6146,1813,1048,"Mature SIg Lambda"
"64",2321,2107,2352,2592,5509,3545,2086,5187,2080,1514,"CD56dim"
"75",2003,2570,6888,4204,5538,1957,5532,6339,2036,1271,"CD8+CD4-"
"82",5846,4293,1557,6681,5295,6198,2730,3249,1666,980,"Mature SIg Kappa"
"86",1998,3402,6683,5619,4967,2198,5502,1639,1250,610,"CD4+CD8-"
"93",1820,1139,6784,1953,5482,1736,4802,3550,1849,1104,"TCRgd-"
"102",2876,5008,2003,3877,4923,3718,2364,4748,3470,4305,"Monocytes"
"111",2319,5425,1031,2238,5284,4966,2616,4880,2018,1361,"CD56dim"
"114",2495,4537,2484,3629,4738,4532,1897,4804,3502,3107,"Monocytes"
"118",2457,3246,7077,5690,5323,1563,6621,2006,1782,1115,"CD4+CD8-"
"129",2598,4491,3185,3285,4790,3968,2373,4808,3117,4698,"Monocytes"
"130",2159,4020,2252,4346,5119,3527,2670,4613,3310,2939,"Monocytes"
"133",1713,1704,7108,5955,5343,1779,6547,2653,2482,1533,"CD4+CD8-"
"140",6537,3119,2653,7679,5482,6419,1194,4356,2530,2694,"Mature SIg Kappa"
"146",1905,2026,7090,5766,5346,1765,5275,2069,2009,1224,"CD4+CD8-"
"148",6103,3310,2004,6296,5290,3756,2559,6587,1815,1193,"Mature SIg Lambda"
"160",2558,1164,7182,5874,5560,1622,6385,2378,1960,1251,"CD4+CD8-"
"169",2349,3225,7270,5654,5311,1500,5717,2428,1360,740,"CD4+CD8-"
"171",6229,4231,1473,6334,4950,4446,2958,2126,1705,825,"Mature SIg Kappa"
"173",2358,3923,6709,1324,5360,1266,5689,6463,1493,946,"CD8+CD4-"
"174",1973,4365,7444,5879,5432,1611,6276,2226,1890,1207,"CD4+CD8-"
"176",2620,4718,948,4380,4792,3875,2400,4803,3745,3845,"Monocytes"
"177",2298,5139,1441,3551,4804,4797,2429,5172,3606,3368,"Monocytes"
"180",2985,2700,3234,4498,5227,3683,3925,4166,4886,7177,"Eosinophils"
"181",1763,2646,6884,1804,5594,4133,4987,6139,1788,1276,"CD8+CD4-"
"183",2446,4911,1395,4031,4930,5058,2292,5232,3396,3140,"Monocytes"
"186",1697,3264,6750,5779,5343,1809,6542,2021,2193,1530,"CD4+CD8-"
"191",3106,3147,3442,4367,5098,3335,3552,4019,4083,7043,"Eosinophils"
"195",2195,5052,2230,3876,4842,3292,3017,5009,3281,1953,"Monocytes"
"197",5958,4400,1163,6690,5215,2188,4562,6128,1688,1098,"Mature SIg Lambda"
"198",1926,2408,6844,5704,5448,1744,6816,1893,1933,1039,"CD4+CD8-"
"201",3030,3221,3394,4593,5303,3359,4091,4113,3494,7671,"Eosinophils"
"203",2523,2306,6399,3967,5239,1641,4910,5813,1527,891,"CD8+CD4-"
"208",2770,4498,1497,3926,5296,5065,2264,5343,3624,3028,"Monocytes"
"209",1992,4791,1705,3613,4875,3606,2478,4657,3257,3444,"Monocytes"
"210",2880,4794,1215,3353,5246,4414,2711,5194,2907,4105,"Monocytes"
"211",2533,3317,2867,4663,5257,3372,4017,4256,4533,6998,"Eosinophils"
"212",2225,1608,7237,5850,5448,2170,5738,2552,2078,1107,"CD4+CD8-"
