,Kullback
Standford1A,0.03728225168695487
Yale1A,0.02238316236871575
Ucla1A,0.04037225857730115
Cimr1A,0.09041768202012923
Baylor1A,0.016344827206613628
Miami1A,0.059597199083879844
Standford2A,0.06654626735110539
Yale2A,0.029457965128611038
Ucla2A,0.03766584794821206
Nhlbi2A,0.06141407607981789
Cimr2A,0.13731496771948137
Baylor2A,0.040647817592898795
Miami2A,0.08865504034483608
Standford3A,0.02409562731888653
Yale3A,0.020644390692355137
Ucla3A,0.023088634083748224
Nhlbi3A,0.01516823648489425
Cimr3A,0.06972772497908612
Baylor3A,0.024282433364140012
Miami3A,0.03992927133319386
Standford1B,0.039367521228403354
Yale1B,0.03613897295608515
Ucla1B,0.020954373144946616
Nhlbi1B,0.009180777725454073
Cimr1B,0.07093099025927348
Baylor1B,0.01805290983868788
Miami1B,0.0709112166027454
Standford2B,0.0725580668179256
Yale2B,0.020596398487409552
Ucla2B,0.04178117933538852
Nhlbi2B,0.03637840781250972
Cimr2B,0.14676571422022447
Baylor2B,0.035647634718599615
Miami2B,0.08548307628799223
Standford3B,0.03780549409966615
Yale3B,0.011205222545874154
Ucla3B,0.0195849364900845
Nhlbi3B,0.02191876703863602
Cimr3B,0.07026401410892155
Baylor3B,0.024532451659876095
Miami3B,0.0429658516343518
Standford1C,0.023054802032801497
Yale1C,0.009617414455054742
Ucla1C,0.02823604796707109
Nhlbi1C,0.00469892335212196
Cimr1C,0.10626849952099604
Baylor1C,0.009839185961354665
Miami1C,0.05036835221881741
Standford2C,0.06946991011953807
Yale2C,0.03622430768590842
Ucla2C,0.032710743336444775
Nhlbi2C,0.039208874938013685
Cimr2C,0.1039506483366353
Baylor2C,0.05548243643561871
Miami2C,0.07169464318507932
Standford3C,0.03560299957427583
Yale3C,0.016252692084195344
Ucla3C,0.02103408409312136
Nhlbi3C,0.012142701583197711
Cimr3C,0.02637284455761292
Baylor3C,0.029652322880130148
Miami3C,0.06970661651214884
