,Kullback
Yale1A,0.02409838880998491
Ucla1A,0.05536740103405532
Nhlbi1A,0.06880599350614346
Cimr1A,0.09624287669531083
Baylor1A,0.03881862854083419
Miami1A,0.06457397455250054
Standford2A,0.010990095555763689
Yale2A,0.02781611749519129
Ucla2A,0.02396881135572943
Nhlbi2A,0.04868048154802065
Cimr2A,0.08248770249130954
Baylor2A,0.02701639612665562
Miami2A,0.05832934023042649
Standford3A,0.049941160587523604
Yale3A,0.049608776347970146
Ucla3A,0.02477657602047424
Nhlbi3A,0.060122103780275646
Cimr3A,0.09019276133236646
Baylor3A,0.028908321339100276
Miami3A,0.025502988021211755
Standford1B,0.006450208816996247
Yale1B,0.0178064713881328
Ucla1B,0.012790169113386736
Nhlbi1B,0.036250155060941876
Cimr1B,0.04780148954289668
Baylor1B,0.039850370600615886
Miami1B,0.10336550198535449
Standford2B,0.02120493558002816
Yale2B,0.03212179223439901
Ucla2B,0.03299310293346676
Nhlbi2B,0.03837650904819419
Cimr2B,0.09677347948876303
Baylor2B,0.05908848698024899
Miami2B,0.037720294670274934
Standford3B,0.04119842948465707
Yale3B,0.032409995206942724
Ucla3B,0.014162047369710487
Nhlbi3B,0.11798907612907591
Cimr3B,0.0945989301002609
Baylor3B,0.06008216343438701
Miami3B,0.03634365373059525
Standford1C,0.012729926694091922
Yale1C,0.01838306776700401
Ucla1C,0.005451564603015059
Nhlbi1C,0.021674816942584888
Cimr1C,0.07292831127346838
Baylor1C,0.08235570860574554
Miami1C,0.11264197190535075
Standford2C,0.008508737228220434
Yale2C,0.024874385906085837
Ucla2C,0.027578936465971884
Nhlbi2C,0.048769196576484576
Cimr2C,0.08131506808095419
Baylor2C,0.036808739618561764
Miami2C,0.029700442571160123
Standford3C,0.017320404975457282
Yale3C,0.0641229735655306
Ucla3C,0.018752943691749076
Nhlbi3C,0.09687472361820879
Cimr3C,0.09332448916597584
Baylor3C,0.01590319391396199
Miami3C,0.05982231321029094
