,Classe 1,Classe 2,Classe 3,Classe 4,Classe 5,Classe 6,Classe 7,Classe 8,Classe 9,Classe 10
Standford1A,0.17644536375155814,0.23207205492117056,0.06025492334284902,0.07343596125277269,0.005959680570003312,0.002312192237287717,0.16105576294017473,0.2604920886711057,0.021239081372829337,0.006732890940248946
Yale1A,0.16896277665329118,0.21812827631218923,0.06384593045566817,0.07869212574441374,0.0071879533494315015,0.0027181883590987974,0.21950422440626638,0.1772861276717334,0.05470105996858722,0.008973337079320427
Ucla1A,0.14724151150959408,0.1449209593705617,0.0760809619767347,0.1288072864136891,0.00824992500491532,0.0023187332163381565,0.21613814098477918,0.23217782317254293,0.036460855095909746,0.007603803254935031
Cimr1A,0.14366527508502452,0.15980405990972302,0.10604657930582398,0.08628271045336336,0.005996426657777432,0.0017631862122802946,0.19246389609663783,0.26428542301318764,0.03270038551102437,0.006992057755157684
Baylor1A,0.13488501507689626,0.19519856565589808,0.06441501712706696,0.09800030562805144,0.006634188401237225,0.0013322866770803924,0.1961083811455907,0.26135585336539024,0.0326437572346836,0.009426629688105096
Miami1A,0.028959140497538952,0.34692229557812515,0.12061878930545779,0.034678599214491145,0.008518307446514576,0.0027975041905007585,0.16573964929321328,0.2580350834427993,0.02363505422325084,0.0100955768081083
Standford2A,0.07102838943721607,0.22754488998187003,0.05575441797072737,0.1052494148166414,0.009347839161494665,0.006343216145366112,0.14249094945280807,0.2987962609147452,0.07475473375504586,0.008689888364084995
Yale2A,0.053692611594647485,0.16867560974718576,0.05984436051790716,0.10142659926297325,0.008460039109769306,0.005189215827383273,0.16350292808998992,0.25872462966756754,0.17025858944635508,0.010225416736221198
Ucla2A,0.0678302331593596,0.18266149861997955,0.06074643500114798,0.11772923014892198,0.007265306392682261,0.006540765330012219,0.1652013081980174,0.25059519623062915,0.13488167437219112,0.00654835254705865
Nhlbi2A,0.086263695859264,0.1635778621434804,0.060085375241602026,0.14720773729031725,0.0095069213538372,0.009682272389336567,0.15793816143793737,0.20889582117691258,0.148390052842361,0.008452100264951579
Cimr2A,0.08343163068350913,0.18920328091102234,0.0871274282416917,0.0805304463061039,0.009705830121831828,0.005598807019423288,0.1916763856883554,0.277791411257175,0.06722375726139472,0.007711022509492768
Baylor2A,0.056704163414038784,0.18309532354764174,0.05659972014156691,0.0921744367765144,0.009265116682198106,0.0066137925463506855,0.15088165126351888,0.2697882713358323,0.16681536355124466,0.008062160741093562
Miami2A,0.022416507517203837,0.19897985004441518,0.10868094734996277,0.05163461480454069,0.010128745037930998,0.0020376711861812154,0.1291984618373506,0.36106172887523563,0.10679447945652915,0.009066993890649782
Standford3A,0.02634796337780279,0.11624395249785696,0.05315588414419882,0.053784254676912974,0.0060993083911982824,0.0028635770177220937,0.3409841716121831,0.33193386141958586,0.06133716006240738,0.007249866800131912
Yale3A,0.04221376369170411,0.11182267137377404,0.04886890504483325,0.05913231004073407,0.00676603615980779,0.0023871625381269132,0.3996456661458675,0.22336842965854123,0.09632229326950204,0.009472762077109039
Ucla3A,0.02886250851194464,0.10327535009431255,0.07120021161998234,0.038603330924744154,0.0054552937849098974,0.0020743791949558057,0.29824071322008844,0.3951870403469131,0.05019704249898858,0.006904129803160471
Nhlbi3A,0.02759756300255314,0.11094072481096957,0.06952920290242989,0.07141608997709471,0.0062900836414542215,0.0020387963349315316,0.27795059169764924,0.3595703070499801,0.06774825460164342,0.006918385981294176
Cimr3A,0.029249406132654966,0.08912098416865814,0.09421413892656696,0.047345004878454326,0.0056396463884382415,0.001828005276382565,0.33150486686218056,0.34844953423699637,0.04667250452969486,0.005975908599972971
Baylor3A,0.015848778954954172,0.10549889518027904,0.08194174952215413,0.05310197080148577,0.005028794577054629,0.0014842824475725712,0.3393961029911101,0.3278535826914265,0.06418407688145483,0.005661765952508151
Miami3A,0.017005405940685517,0.10947261652938856,0.1180930351656343,0.022637922573402556,0.005287300368020917,0.0016367816688597856,0.2551578561793983,0.4187282319812495,0.0456205773253433,0.006360272268017394
Standford1B,0.166459218402802,0.20956115254491778,0.07580510700104405,0.08086847454507026,0.006440852378475823,0.002139744218943479,0.17156144775906337,0.2610173664764225,0.019366326088627036,0.006780310584633657
Yale1B,0.12923360084127336,0.17330619864784633,0.05158476887293497,0.10768420347643162,0.007866354041803171,0.00196142526906906,0.24630099374784803,0.222812228377361,0.05021104177075851,0.009039184954673854
Ucla1B,0.1894704528758206,0.2232233698867064,0.07678118803411345,0.09028546823025081,0.007811031099663457,0.0019193777157007863,0.18831804682511133,0.1815167272340946,0.034274612164034796,0.006399725934503847
Nhlbi1B,0.15509140805725954,0.18270042982173565,0.05598029244280483,0.11092959377803871,0.00728318558112815,0.001782692192271782,0.16948368762525076,0.26987722885903903,0.03778154843225482,0.009089933210216714
Cimr1B,0.1762986622982563,0.15535583688800628,0.08834729028622666,0.0950942907323393,0.007745504002597551,0.002088711138534228,0.1934446743385703,0.24781269023027308,0.02527540110397482,0.008536938981221358
Baylor1B,0.1359479784443237,0.20834003396201214,0.07486343865189037,0.08502158513707955,0.007805170186942117,0.0013168622800474143,0.18528800241974044,0.257873271164551,0.03520962166854128,0.008334036084871904
Miami1B,0.019338470281734257,0.3308008586002392,0.13010457107936,0.0282470181476928,0.005597471594507833,0.0017044092891857461,0.1351273291784462,0.32154870028853955,0.02030791983990769,0.007223251700386913
Standford2B,0.07669213511690656,0.2152528989517967,0.06709008054268978,0.1055152038503108,0.007699239276188081,0.0045874263397241485,0.1395876563302859,0.3011066093619307,0.07485352250947128,0.007615227720696123
Yale2B,0.06442815074386622,0.1596331816534922,0.05037850848585876,0.09601507697690453,0.008692995234287813,0.00558477566388053,0.16548974471455216,0.23257627173248063,0.20924327731074036,0.007958017483936736
Ucla2B,0.07154533732882351,0.18935731908070894,0.05687801167402104,0.10917118573749568,0.009648685706368206,0.007081375504903598,0.15590195108203972,0.2721745180701768,0.12111664014100575,0.007124975674456706
Nhlbi2B,0.10736042359713187,0.17467787537405915,0.06533085060847171,0.12207650819894521,0.010767154092018462,0.010077261220127691,0.14236514273438963,0.22567793423463578,0.12967800699427695,0.011988842945943597
Cimr2B,0.08189082059122268,0.18372179091422727,0.10343514635802101,0.07058791149950112,0.010481336432324849,0.005291825414720135,0.19814879365870358,0.2671829596295315,0.07174244569213635,0.007516969809611578
Baylor2B,0.0753867622067106,0.20176614315388144,0.05106794276922963,0.11105905005195434,0.01081113028665312,0.006629326874902698,0.13759067035861883,0.2817252491835806,0.11541103395749151,0.008552691156977226
Miami2B,0.01833521827805169,0.20781735646664198,0.11672211066090366,0.04321091065179724,0.005987084118709689,0.001852665235412361,0.13088467745409788,0.34698015534429677,0.12171612511246097,0.006493696677627863
Standford3B,0.02676610858115675,0.11074071460520339,0.05257174027952883,0.05223213151137187,0.007512002469021649,0.0025992990599401143,0.3425351125142378,0.34469740996598996,0.052740512088771375,0.007604968924778121
Yale3B,0.02605240253274814,0.10591428795354356,0.05974437117197571,0.03686072953918913,0.007102512874913722,0.0035408297421647846,0.3727377895361726,0.2992327904715131,0.0820421983655726,0.006772087812206618
Ucla3B,0.02742234868309343,0.09423334726159144,0.07003191214708097,0.04909825055862828,0.005346399202027787,0.002218752571803889,0.3376817977872825,0.36019895563731763,0.04736965698409718,0.006398579167076684
Nhlbi3B,0.02639027062104864,0.09529012155115009,0.05914672953015663,0.07663097944389206,0.006076965661177084,0.0019007870214112672,0.2762371590846779,0.36329740264718197,0.08747636343087493,0.00755322100842942
Cimr3B,0.02487245078221453,0.11101213244880154,0.09336105379864697,0.04483540328927472,0.0056510948355695785,0.0019827123595313103,0.25948175328241124,0.4073028438015364,0.04555268999310762,0.005947865408906005
Baylor3B,0.018096084827528506,0.13777387238800137,0.1042963372036,0.06728364688997769,0.006919820969324917,0.0016927241505887815,0.2574134238025464,0.3258303352596413,0.07370585435513749,0.006987900153653465
Miami3B,0.014057799751495218,0.104037613236406,0.12497160618213854,0.027064431662849373,0.005662101151998773,0.0015972753263954272,0.24277252565413632,0.42183424497999994,0.051766596039947245,0.0062358060146331185
Standford1C,0.23039857530659477,0.23731347366785283,0.061807622774623316,0.06702625504454507,0.008129464890331147,0.0021704874145747734,0.1511895890160832,0.20587083483508503,0.02910298979432678,0.006990707255982952
Yale1C,0.18117922696566469,0.14137954753379403,0.0543306170067554,0.09474817767353104,0.006733194388982283,0.0022851333651605515,0.18317228963202498,0.26279997210629236,0.064932018640985,0.008439822686809692
Ucla1C,0.17587204418686825,0.19626969985985318,0.07751769154015625,0.10086063919505864,0.006136390533795067,0.0019033344833138985,0.1620503216618987,0.24222528980845548,0.031070701063374912,0.0060938876672255796
Nhlbi1C,0.1642280516519262,0.20228432988849399,0.05589253998413173,0.11129882237348167,0.006130173913255656,0.0018398161277843538,0.17677661136712605,0.2377826298831979,0.03433962560867463,0.009427399201927941
Cimr1C,0.15066218026409686,0.19608685256837505,0.10600201130004411,0.06211515406364104,0.007252969470461223,0.0016194155785579619,0.21649024957631216,0.22804283041109177,0.025142009688038078,0.006586327079381832
