,Classe 1,Classe 2,Classe 3,Classe 4,Classe 5,Classe 6,Classe 7,Classe 8,Classe 9,Classe 10
Yale1A,0.13720220818686074,0.239534094633505,0.039231158863880324,0.08046194286870334,0.012507912367868634,0.0030613835276042684,0.20085230917440977,0.19173909546833484,0.08154376523757223,0.013866129671260895
Ucla1A,0.2542644703340274,0.1400535022916597,0.05381466016221483,0.10668422675955828,0.02178957415633396,0.0032217798002295898,0.14893289862533313,0.19730796661423153,0.06005788714581343,0.01387303411059817
Nhlbi1A,0.23841947887229153,0.16032847569181666,0.03193972780121285,0.09653834887536256,0.019144600970638248,0.0028341001804691574,0.17875924069335716,0.16675216298412496,0.08000889819065318,0.025274965740073763
Cimr1A,0.18402868544401707,0.14584937502375375,0.049016319846361005,0.10255408299800034,0.017919203233492637,0.002250965848829869,0.19507701354737816,0.17803411822196427,0.08834454950890272,0.0369256863273001
Baylor1A,0.1744759207330911,0.1807774071245832,0.03799104730832084,0.09640819957384872,0.02832965278623235,0.0017229350959529787,0.16823304619929208,0.21270870965212493,0.06722861948892579,0.03212446203762798
Miami1A,0.051827299860007094,0.3332185234992476,0.09567607489452697,0.05468305599543676,0.03432994706864854,0.0036867245056933983,0.1298694289109912,0.21871981803461985,0.05077297924984573,0.02721614798098285
Standford2A,0.06672716731975072,0.18241626878905745,0.0439450311034759,0.08633663422949439,0.019806306564039436,0.008800747145256565,0.15449742054293855,0.2306758250821417,0.19311275317726428,0.013681846046580941
Yale2A,0.07410607603498,0.22377381593347606,0.027698580760477137,0.08914021095994847,0.0199726046945944,0.005519438544619725,0.12806539844175505,0.1933510378670143,0.2214219416120652,0.016950895151069602
Ucla2A,0.08558239235864096,0.2061173567342924,0.05340201617072875,0.10092754596791417,0.019465278926167083,0.005532853409157191,0.16215147113337153,0.177930276212676,0.17601207302641117,0.012878736060640779
Nhlbi2A,0.1475799528734528,0.16044963264952705,0.03475113266133527,0.13201130917629347,0.019588479895577528,0.004122961636165513,0.14696780587135175,0.18815326697098222,0.1330694210339418,0.033306037231372654
